Row Column, Keyboard                                                                                                      , Mouse        , Monitor      , Monitor Brand, HDMI                      , Ethernet   , Cable Ties                               , System Unit   , Can access Admin, System Unit Brand, Device Name    , Processor     , Processor Speed            , RAM Installed , RAM Speed     , Storage (Usable)      , WiFi enabled  , OS installed          , OS Installation Date, Graphics Card                                   , Student Domain Connected here?, Padlocked     , Errors:
          , FRONT DESK                                                                                                    ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
R0C0      , Present                                                                                                       , Present      , Present      , HP           ,                           , Present    , Present                                  , Present       , Yes             , HP               , Elgon 03       , Core i5-10500 , 3.10GHz (12 CPUs - 6 Cores), 8GB           , 2667MT/s      , 500GB (477GB) SSD NVMe, Yes           , Windows 11 Pro N 24H2 , 09/06/2025          , 128 Mb Intel® UHD Graphics 630                  , No access to student domain   , Yes           , - Only shows the admin profile
          , ROW 1                                                                                                         ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
R1C1      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , "HDMI cable, Keyboard & Mouse don't have", Present       , Yes             , HP               , Elgon 017      , Core i5-10500 , 3.10GHz (12 CPUs - 6 Cores), 4GB           , 2667MT/s      , 500GB (477GB) SSD NVMe, Yes           , Windows 11 Pro N 24H2 , 02/22/2025          , 128 Mb Intel® UHD Graphics 630                  , Yes                           , No            , 
R1C2      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , Keyboard & Mouse don't have              , Present       , Yes             , HP               , Elgon 033      , Core i5-10500 , 2.90GHz (12 CPUs - 6 Cores), 4GB           , 2667MT/s      , 500GB (477GB) SSD NVMe, Yes           , Windows 11 Pro N 24H2 , 09/29/2025          , 128 Mb Intel® UHD Graphics 630                  , Yes                           , Yes           , 
R1C3      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , Present                                  , Present       , Yes             , HP               , Elgon 01       , Core i5-10500 , 3.10GHz (12 CPUs - 6 Cores), 4GB           , 2667MT/s      , 500GB (477GB) SSD     , Yes           , Windows 11 Pro N 23H2 , 02/29/2024          , 128 Mb Intel® UHD Graphics 630                  , No access to student domain   , Yes           , - The security database on the server does not have a computer account for this workstation trust relationship.(Displayed when trying to log in using AMS credentials)
R1C4      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , Keyboard & Mouse don't have              , Present       , Yes             , HP               , Elgon 15       , Core i5-10500 , 3.10GHz (12 CPUs - 6 Cores), 4GB           , 2667MT/s      , 500GB(477GB) SSD NVMe , Yes           , Windows 11 Pro N 24H2 , 04/10/2026          , 128 Mb Intel® UHD Graphics 630                  , Yes                           , Yes           , 
R1C5      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , Present                                  , Present       , Yes             , HP               , Desktop UVV50OF, Core i5-10400 , 2.90GHz (12 CPUs - 6 Cores), 4GB           , 2667MT/s      , 500GB (477GB) SSD NVMe, Yes           , Windows 11 Pro N 23H2 , 07/23/2025          , No VRAM                                         , No access to student domain   , Yes           , "- Only shows a profile called ""Elgon"",""Admissions"" & ""Administrator"""
          , ROW 2                                                                                                         ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
R2C1      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , Present                                  , Present       , Yes             , HP               , Elgon 07       , Core i5-10500 , 3.10GHz (12 CPUs - 6 Cores), 4GB           , 2667MT/s      , 500GB (477GB) SSD NVMe, Yes           , Windows 11 Pro N 24H2 , 07/14/2025          , 128 Mb Intel® UHD Graphics 630                  , Yes                           , Yes           , 
